trip_id,qtd_paradas,duracao_minutos,route_id,route_short_name,route_long_name,route_id_numeric
CPTM L07-0,18,136.0,CPTM L07,CPTM L07,JUNDIAI - LUZ,
CPTM L07-1,18,136.0,CPTM L07,CPTM L07,JUNDIAI - LUZ,
CPTM L08-0,22,147.0,CPTM L08,CPTM L08,AMADOR BUENO - JULIO PRESTES,
CPTM L08-1,22,147.0,CPTM L08,CPTM L08,AMADOR BUENO - JULIO PRESTES,
CPTM L09-0,21,60.0,CPTM L09,CPTM L09,VARGINHA - OSASCO,
CPTM L09-1,21,60.0,CPTM L09,CPTM L09,VARGINHA - OSASCO,
CPTM L10-0,13,84.0,CPTM L10,CPTM L10,RIO GRANDE DA SERRA - BRÁS,
CPTM L10-1,13,84.0,CPTM L10,CPTM L10,RIO GRANDE DA SERRA - BRÁS,
CPTM L11-0,16,90.0,CPTM L11,CPTM L11,ESTUDANTES - LUZ,
CPTM L11-1,16,90.0,CPTM L11,CPTM L11,ESTUDANTES - LUZ,
CPTM L12-0,13,72.0,CPTM L12,CPTM L12,CALMON VIANA - BRAS,
CPTM L12-1,13,72.0,CPTM L12,CPTM L12,CALMON VIANA - BRAS,
CPTM L13-0,3,16.0,CPTM L13,CPTM L13,AEROPORTO DE GUARULHOS - ENGENHEIRO GOULART,
CPTM L13-1,3,16.0,CPTM L13,CPTM L13,AEROPORTO DE GUARULHOS - ENGENHEIRO GOULART,
METRÔ 15-0,11,40.0,METRÔ 15,METRÔ 15,ORATÓRIO - SÃO MATEUS,
METRÔ 15-1,11,40.0,METRÔ 15,METRÔ 15,ORATÓRIO - SÃO MATEUS,
METRÔ L1-0,23,41.06666666666666,METRÔ L1,METRÔ L1,TUCURUVI - JABAQUARA,
METRÔ L1-1,23,41.06666666666666,METRÔ L1,METRÔ L1,TUCURUVI - JABAQUARA,
METRÔ L2-0,14,32.5,METRÔ L2,METRÔ L2,VILA MADALENA - VILA PRUDENTE,
METRÔ L2-1,14,32.5,METRÔ L2,METRÔ L2,VILA MADALENA - VILA PRUDENTE,
METRÔ L3-0,18,53.833333333333314,METRÔ L3,METRÔ L3,CORINTHIANS - ITAQUERA - PALMEIRAS - BARRA FUNDA,
METRÔ L3-1,18,53.833333333333314,METRÔ L3,METRÔ L3,CORINTHIANS - ITAQUERA - PALMEIRAS - BARRA FUNDA,
METRÔ L4-0,11,23.333333333333314,METRÔ L4,METRÔ L4,SÃO PAULO - MORUMBI - LUZ,
METRÔ L4-1,11,23.333333333333314,METRÔ L4,METRÔ L4,SÃO PAULO - MORUMBI - LUZ,
METRÔ L5-0,17,48.0,METRÔ L5,METRÔ L5,CAPAO REDONDO - CHÁCARA KLABIN,
METRÔ L5-1,17,48.0,METRÔ L5,METRÔ L5,CAPAO REDONDO - CHÁCARA KLABIN,
